id,name,gender,is_captain
17,Michael Jordan,M,true
18,LeBron James,M,true
19,Lionel Messi,M,true
20,Cristiano Ronaldo,M,true
21,Roger Federer,M,true
22,Tom Cruise,M,true
23,Brad Pitt,M,true
24,Keanu Reeves,M,true
25,Stephen Curry,M,false
26,Kevin Durant,M,false
27,Novak Djokovic,M,false
28,Rafael Nadal,M,false
29,Usain Bolt,M,false
30,Michael Phelps,M,false
31,Tiger Woods,M,false
32,David Beckham,M,false
33,Kylian Mbappe,M,false
34,Neymar Junior,M,false
35,Leonardo DiCaprio,M,false
36,Johnny Depp,M,false
37,Robert Downey,M,false
38,Chris Evans,M,false
39,Chris Hemsworth,M,false
40,Tom Hanks,M,false
41,Will Smith,M,false
42,Denzel Washington,M,false
43,Matt Damon,M,false
44,Ryan Reynolds,M,false
45,Ryan Gosling,M,false
46,Hugh Jackman,M,false
47,Jackie Chan,M,false
48,Jet Li,M,false
49,Andy Lau,M,false
50,Jay Chou,M,false
51,Bruno Mars,M,false
52,Ed Sheeran,M,false
53,Justin Bieber,M,false
54,Aubrey Drake,M,false
55,Marshall Eminem,M,false
56,Harry Styles,M,false
57,Shawn Mendes,M,false
58,Abel Tesfaye,M,false
59,Daniel Craig,M,false
60,George Clooney,M,false
61,Morgan Freeman,M,false
62,Samuel Jackson,M,false
63,Ben Affleck,M,false
64,Mark Wahlberg,M,false
